product_ndc,brand_name,generic_name,labeler_name,product_type,dosage_form,route,marketing_category,marketing_start_date,marketing_end_date,active_ingredients,pharm_class,dea_schedule,finished,listing_expiration_date
0069-6111,Octagam Immune Globulin (Human),Immune Globulin,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20231113,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
0069-0235,Cibinqo,abrocitinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20220224,,ABROCITINIB (50 mg/1),Janus Kinase Inhibitor [EPC]; Janus Kinase Inhibitors [MoA]; P-Glycoprotein Inhibitors [MoA],,True,20271231
0069-0809,INFLECTRA,infliximab-dyyb,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA,20161121,,INFLIXIMAB (100 mg/10mL),Tumor Necrosis Factor Blocker [EPC]; Tumor Necrosis Factor Receptor Blocking Activity [MoA],,True,20261231
0069-3500,ZAVZPRET,zavegepant,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,SPRAY,NASAL,NDA,20230601,,ZAVEGEPANT HYDROCHLORIDE (10 mg/.1mL),Calcitonin Gene-related Peptide Receptor Antagonist [EPC]; Calcitonin Gene-related Peptide Receptor Antagonists [MoA],,True,20261231
0071-2012,Neurontin,gabapentin,Parke-Davis Div of Pfizer Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,NDA,20000302,20270131,GABAPENTIN (250 mg/5mL),Decreased Central Nervous System Disorganized Electrical Activity [PE],,True,
0008-0423,North American Coral Snake Antivenin (Equine),Coral Snake (Micrurus Fulvius) Immune Globulin Antivenin (Equine),"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,BLA,20161012,,CORAL SNAKE (MICRURUS FULVIUS) IMMUNE GLOBULIN ANTIVENIN (EQUINE) (250 [arb'U]/10mL),,,True,20261231
0046-1100,Premarin,"estrogens, conjugated","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20060101,,"ESTROGENS, CONJUGATED (.3 mg/1)",Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS],,True,20271231
0013-1114,Cyklokapron,tranexamic acid,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,NDA,19861230,,TRANEXAMIC ACID (100 mg/mL),Antifibrinolytic Agent [EPC]; Decreased Fibrinolysis [PE],,True,20261231
0069-0043,Heparin Sodium,Heparin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS; SUBCUTANEOUS,NDA,20110721,,HEPARIN SODIUM (1000 [USP'U]/mL),Anti-coagulant [EPC]; Heparin [CS]; Unfractionated Heparin [EPC],,True,20261231
0069-0400,Zithromax,azithromycin dihydrate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,20140307,,AZITHROMYCIN DIHYDRATE (500 mg/5mL),Macrolide Antimicrobial [EPC]; Macrolides [CS],,True,20261231
0069-1531,Daurismo,glasdegib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20181210,,GLASDEGIB (100 mg/1),Hedgehog Pathway Inhibitor [EPC]; Smoothened Receptor Antagonists [MoA],,True,20261231
0069-6747,Caduet,amlodipine and atorvastatin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20220831,,AMLODIPINE BESYLATE (5 mg/1); ATORVASTATIN CALCIUM TRIHYDRATE (80 mg/1),Calcium Channel Antagonists [MoA]; Calcium Channel Blocker [EPC]; Cytochrome P450 3A Inhibitors [MoA]; Dihydropyridine Calcium Channel Blocker [EPC]; Dihydropyridines [CS]; HMG-CoA Reductase Inhibitor [EPC]; Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA],,True,20271231
0069-0252,Talzenna,talazoparib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, LIQUID FILLED",ORAL,NDA,20240417,,TALAZOPARIB TOSYLATE (.1 mg/1),Poly(ADP-Ribose) Polymerase Inhibitor [EPC]; Poly(ADP-Ribose) Polymerase Inhibitors [MoA],,True,20271231
0069-1029,XELJANZ,tofacitinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,NDA,20210208,,TOFACITINIB CITRATE (1 mg/mL),Janus Kinase Inhibitor [EPC]; Janus Kinase Inhibitors [MoA],,True,20271231
0025-0328,ABRILADA,adalimumab-afzb,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,20231214,,,,,True,20271231
0069-4220,Viagra,sildenafil citrate,PFIZER LABORATORIES DIV PFIZER INC,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,19980327,20290131,SILDENAFIL CITRATE (100 mg/1),Phosphodiesterase 5 Inhibitor [EPC]; Phosphodiesterase 5 Inhibitors [MoA],,True,
0008-1210,Pristiq Extended-Release,desvenlafaxine succinate,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, EXTENDED RELEASE",ORAL,NDA,20150401,,DESVENLAFAXINE SUCCINATE (25 mg/1),Cytochrome P450 2D6 Inhibitors [MoA]; Norepinephrine Uptake Inhibitors [MoA]; Serotonin Uptake Inhibitors [MoA]; Serotonin and Norepinephrine Reuptake Inhibitor [EPC],,True,20271231
0046-1107,Prempro,conjugated estrogens and medroxyprogesterone acetate,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, SUGAR COATED",ORAL,NDA,20090921,,"ESTROGENS, CONJUGATED (.625 mg/1); MEDROXYPROGESTERONE ACETATE (2.5 mg/1)",Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS]; Progesterone Congeners [CS]; Progestin [EPC],,True,20271231
0013-2650,GENOTROPIN,somatropin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,19951220,,,,,True,20271231
0069-0188,Ibrance,palbociclib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20150203,20290731,PALBOCICLIB (100 mg/1),Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Kinase Inhibitors [MoA],,True,
0069-0486,Ibrance,palbociclib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20200330,,PALBOCICLIB (100 mg/1),Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Kinase Inhibitors [MoA],,True,20271231
0069-1975,Vyndaqel,tafamidis meglumine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, LIQUID FILLED",ORAL,NDA,20190516,20270731,TAFAMIDIS MEGLUMINE (20 mg/1),,,True,
0069-8400,Octagam Immune Globulin (Human),Immune Globulin,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20231113,,HUMAN IMMUNOGLOBULIN G (50 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
0069-0292,Nivestym,filgrastim-aafi,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA,20180924,,FILGRASTIM (480 ug/.8mL),Granulocyte Colony-Stimulating Factor [CS]; Increased Myeloid Cell Production [PE]; Leukocyte Growth Factor [EPC],,True,20261231
0025-1451,Cytotec,misoprostol,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,19861227,,MISOPROSTOL (100 ug/1),Prostaglandin E1 Analog [EPC]; Prostaglandins E; Synthetic [CS],,True,20271231
0069-1306,RETACRIT,epoetin alfa-epbx,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,20180618,,EPOETIN (3000 [iU]/mL),Erythropoiesis-stimulating Agent [EPC]; Erythropoietin [CS]; Increased Erythroid Cell Production [PE],,True,20261231
0069-5471,CEREBYX,Fosphenytoin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA,20131028,,FOSPHENYTOIN SODIUM (50 mg/mL),Anti-epileptic Agent [EPC]; Cytochrome P450 1A2 Inducers [MoA]; Cytochrome P450 2B6 Inducers [MoA]; Cytochrome P450 2C19 Inducers [MoA]; Cytochrome P450 2C8 Inducers [MoA]; Cytochrome P450 2C9 Inducers [MoA]; Cytochrome P450 2D6 Inducers [MoA]; Cytochrome P450 3A Inducers [MoA]; Decreased Central Nervous System Disorganized Electrical Activity [PE],,True,20261231
0013-2657,GENOTROPIN,somatropin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,19951220,,,,,True,20271231
0069-0209,Propofol,Propofol,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, EMULSION",INTRAVENOUS,ANDA,20201005,,PROPOFOL (10 mg/mL),General Anesthesia [PE]; General Anesthetic [EPC],,True,20261231
0069-0521,Paxlovid,nirmatrelvir and ritonavir,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,NDA,20250415,20260831,,,,True,
0069-2650,Procardia XL,nifedipine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA,19890906,,NIFEDIPINE (30 mg/1),Calcium Channel Antagonists [MoA]; Dihydropyridine Calcium Channel Blocker [EPC]; Dihydropyridines [CS],,True,20261231
0071-0350,Nardil,Phenelzine Sulfate,Parke-Davis Div of Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,19610609,,PHENELZINE SULFATE (15 mg/1),Monoamine Oxidase Inhibitor [EPC]; Monoamine Oxidase Inhibitors [MoA],,True,20261231
0069-0308,Trazimera,trastuzumab-qyyp,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,BLA,20210310,,TRASTUZUMAB (150 mg/7.15mL),HER2/Neu/cerbB2 Antagonists [MoA]; HER2/neu Receptor Antagonist [EPC],,True,20271231
0069-1415,Panzyga,immune globulin intravenous (human),Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20190809,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20271231
0069-6001,CEREBYX,Fosphenytoin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA,20131028,,FOSPHENYTOIN SODIUM (50 mg/mL),Anti-epileptic Agent [EPC]; Cytochrome P450 1A2 Inducers [MoA]; Cytochrome P450 2B6 Inducers [MoA]; Cytochrome P450 2C19 Inducers [MoA]; Cytochrome P450 2C8 Inducers [MoA]; Cytochrome P450 2C9 Inducers [MoA]; Cytochrome P450 2D6 Inducers [MoA]; Cytochrome P450 3A Inducers [MoA]; Decreased Central Nervous System Disorganized Electrical Activity [PE],,True,20261231
0069-0232,Fragmin,Dalteparin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,NDA,20150401,,DALTEPARIN SODIUM (25000 [iU]/mL),Anti-coagulant [EPC]; Heparin; Low-Molecular-Weight [CS]; Low Molecular Weight Heparin [EPC],,True,20261231
0069-0770,SUTENT,Sunitinib malate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20060126,,SUNITINIB MALATE (25 mg/1),Kinase Inhibitor [EPC]; Protein Kinase Inhibitors [MoA],,True,20271231
0069-3150,Zithromax,azithromycin dihydrate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,19970130,,AZITHROMYCIN DIHYDRATE (500 mg/5mL),Macrolide Antimicrobial [EPC]; Macrolides [CS],,True,20261231
0046-0749,Premarin,CONJUGATED ESTROGENS,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA,19561201,,"ESTROGENS, CONJUGATED (25 mg/5mL)",Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS],,True,20261231
0071-1017,Lyrica,PREGABALIN,Parke-Davis Div of Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20041230,20260731,PREGABALIN (200 mg/1),,CV,True,
0013-0102,Azulfidine EN-tabs,Sulfasalazine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, DELAYED RELEASE",ORAL,NDA,19500620,,SULFASALAZINE (500 mg/1),Aminosalicylate [EPC]; Aminosalicylic Acids [CS],,True,20271231
0069-0353,Talzenna,talazoparib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, LIQUID FILLED",ORAL,NDA,20240417,,TALAZOPARIB TOSYLATE (.25 mg/1),Poly(ADP-Ribose) Polymerase Inhibitor [EPC]; Poly(ADP-Ribose) Polymerase Inhibitors [MoA],,True,20271231
0069-1520,Norvasc,amlodipine besylate,PFIZER LABORATORIES DIV PFIZER INC,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,19920731,20271031,AMLODIPINE BESYLATE (2.5 mg/1),Calcium Channel Antagonists [MoA]; Calcium Channel Blocker [EPC]; Cytochrome P450 3A Inhibitors [MoA]; Dihydropyridine Calcium Channel Blocker [EPC]; Dihydropyridines [CS],,True,
0069-6550,Octagam Immune Globulin (Human),Immune Globulin,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20231113,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
59267-5201,,pegvisomant,Pfizer Manufacturing Belgium NV,DRUG FOR FURTHER PROCESSING,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,DRUG FOR FURTHER PROCESSING,20140731,,PEGVISOMANT (25 mg/mL),,,False,20261231
0069-0249,Ruxience,rituximab-pvvr,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,BLA,20200123,,RITUXIMAB (500 mg/50mL),CD20-directed Antibody Interactions [MoA]; CD20-directed Cytolytic Antibody [EPC],,True,20271231
0069-1011,Panzyga,immune globulin intravenous (human),Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20190809,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20271231
59267-5376,,pegvisomant,Pfizer Manufacturing Belgium NV,DRUG FOR FURTHER PROCESSING,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,DRUG FOR FURTHER PROCESSING,20140731,,PEGVISOMANT (30 mg/mL),,,False,20261231
0025-0166,Synarel,nafarelin acetate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"SPRAY, METERED",NASAL,NDA,19900213,,NAFARELIN ACETATE (2 mg/mL),Gonadotropin Releasing Hormone Receptor Agonist [EPC]; Gonadotropin Releasing Hormone Receptor Agonists [MoA],,True,20271231
0069-4205,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS,NDA,20241111,,DOXORUBICIN HYDROCHLORIDE (2 mg/mL),Anthracycline Topoisomerase Inhibitor [EPC]; Anthracyclines [CS]; Topoisomerase Inhibitors [MoA],,True,20271231
59267-9201,,pegvisomant,Pfizer Manufacturing Belgium NV,DRUG FOR FURTHER PROCESSING,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,DRUG FOR FURTHER PROCESSING,20130311,,PEGVISOMANT (10 mg/mL),,,False,20261231
0008-1123,Duavee,conjugated estrogens/bazedoxifene,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20131003,,"BAZEDOXIFENE ACETATE (20 mg/1); ESTROGENS, CONJUGATED (.45 mg/1)",Estrogen Agonist/Antagonist [EPC]; Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS]; Selective Estrogen Receptor Modulators [MoA],,True,20271231
0046-1105,Prempro,conjugated estrogens and medroxyprogesterone acetate,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, SUGAR COATED",ORAL,NDA,20090921,,"ESTROGENS, CONJUGATED (.3 mg/1); MEDROXYPROGESTERONE ACETATE (1.5 mg/1)",Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS]; Progesterone Congeners [CS]; Progestin [EPC],,True,20271231
59267-9301,,pegvisomant,Pfizer Manufacturing Belgium NV,DRUG FOR FURTHER PROCESSING,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,DRUG FOR FURTHER PROCESSING,20130311,,PEGVISOMANT (15 mg/mL),,,False,20261231
59267-9401,,pegvisomant,Pfizer Manufacturing Belgium NV,DRUG FOR FURTHER PROCESSING,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,DRUG FOR FURTHER PROCESSING,20130311,,PEGVISOMANT (20 mg/mL),,,False,20261231
0013-2646,GENOTROPIN,somatropin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,19951220,,,,,True,20271231
0069-0151,INLYTA,axitinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20120127,,AXITINIB (5 mg/1),Kinase Inhibitor [EPC]; Receptor Tyrosine Kinase Inhibitors [MoA],,True,20261231
0069-0469,CHANTIX,varenicline tartrate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20060510,,VARENICLINE TARTRATE (1 mg/1),Cholinergic Agonists [MoA]; Cholinergic Receptor Agonist [EPC]; Partial Cholinergic Nicotinic Agonist [EPC]; Partial Cholinergic Nicotinic Agonists [MoA],,True,20271231
0069-1960,Cutaquig,immunoglobulin G,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,SUBCUTANEOUS,BLA,20190913,,HUMAN IMMUNOGLOBULIN G (165 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
0069-8140,Xalkori,CRIZOTINIB,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20110826,,CRIZOTINIB (250 mg/1),Cytochrome P450 2B6 Inhibitors [MoA]; Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Organic Cation Transporter 1 Inhibitors [MoA]; Organic Cation Transporter 2 Inhibitors [MoA]; P-Glycoprotein Inhibitors [MoA]; Receptor Tyrosine Kinase Inhibitors [MoA],,True,20261231
0069-0284,Ibrance,palbociclib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20200330,,PALBOCICLIB (75 mg/1),Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Kinase Inhibitors [MoA],,True,20271231
0025-1411,ARTHROTEC,diclofenac sodium and misoprostol,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,19971224,,DICLOFENAC SODIUM (50 mg/1); MISOPROSTOL (200 ug/1),Anti-Inflammatory Agents; Non-Steroidal [CS]; Cyclooxygenase Inhibitors [MoA]; Decreased Prostaglandin Production [PE]; Nonsteroidal Anti-inflammatory Drug [EPC]; Prostaglandin E1 Analog [EPC]; Prostaglandins E; Synthetic [CS],,True,20261231
0069-1224,Panzyga,immune globulin intravenous (human),Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20190809,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20271231
0069-5434,Paxlovid,nirmatrelvir and ritonavir,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,NDA,20250709,,,,,True,20271231
0008-4990,Tygacil,TIGECYCLINE,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,20080615,,TIGECYCLINE (50 mg/5mL),Tetracycline-class Antibacterial [EPC]; Tetracyclines [CS],,True,20261231
0013-2655,GENOTROPIN,somatropin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,19951220,,,,,True,20271231
0069-0197,Vizimpro,dacomitinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20181004,20291231,DACOMITINIB (15 mg/1),,,True,
0069-0507,Xalkori,CRIZOTINIB,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, COATED PELLETS",ORAL,NDA,20231120,,CRIZOTINIB (50 mg/1),Cytochrome P450 2B6 Inhibitors [MoA]; Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Organic Cation Transporter 1 Inhibitors [MoA]; Organic Cation Transporter 2 Inhibitors [MoA]; P-Glycoprotein Inhibitors [MoA]; Receptor Tyrosine Kinase Inhibitors [MoA],,True,20261231
0069-2522,Elrexfio,elranatamab-bcmm,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA,20230815,,ELRANATAMAB (44 mg/1.1mL),,,True,20271231
0071-0007,Dilantin Infatabs,Phenytoin,Parke-Davis Div of Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, CHEWABLE",ORAL,ANDA,19790226,,PHENYTOIN (50 mg/1),Anti-epileptic Agent [EPC]; Cytochrome P450 1A2 Inducers [MoA]; Cytochrome P450 2B6 Inducers [MoA]; Cytochrome P450 2C19 Inducers [MoA]; Cytochrome P450 2C8 Inducers [MoA]; Cytochrome P450 2C9 Inducers [MoA]; Cytochrome P450 2D6 Inducers [MoA]; Cytochrome P450 3A Inducers [MoA]; Decreased Central Nervous System Disorganized Electrical Activity [PE],,True,20271231
0069-0298,Daurismo,glasdegib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20181210,,GLASDEGIB (25 mg/1),Hedgehog Pathway Inhibitor [EPC]; Smoothened Receptor Antagonists [MoA],,True,20261231
0025-2752,Norpace,disopyramide phosphate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, GELATIN COATED",ORAL,NDA,19770901,,DISOPYRAMIDE PHOSPHATE (100 mg/1),Antiarrhythmic [EPC],,True,20271231
0069-1312,Panzyga,immune globulin intravenous (human),Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20190809,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20271231
0069-5820,Tikosyn,dofetilide,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,19991001,,DOFETILIDE (.5 mg/1),Antiarrhythmic [EPC],,True,20271231
0069-0228,Fragmin,Dalteparin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,NDA,20150401,,DALTEPARIN SODIUM (18000 [iU]/.72mL),Anti-coagulant [EPC]; Heparin; Low-Molecular-Weight [CS]; Low Molecular Weight Heparin [EPC],,True,20261231
0069-0688,Ibrance,palbociclib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20200330,,PALBOCICLIB (125 mg/1),Cytochrome P450 3A Inhibitors [MoA]; Kinase Inhibitor [EPC]; Kinase Inhibitors [MoA],,True,20271231
66447-0104,,omalizumab,NOVARTIS PHARMA SAS,BULK INGREDIENT,LIQUID,,BULK INGREDIENT,20030620,,OMALIZUMAB (1 kg/kg),,,False,20261231
0078-0827,BEOVU,brolucizumab,Novartis Pharmaceuticals Corporation,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVITREAL,BLA,20191007,,BROLUCIZUMAB (6 mg/.05mL),,,True,20261231
0078-1420,VANRAFIA,atrasentan,Novartis Pharmaceuticals Corporation,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20250402,,ATRASENTAN HYDROCHLORIDE (.75 mg/1),Endothelin Receptor Antagonist [EPC]; Endothelin Receptor Antagonists [MoA],,True,20271231
0078-0381,Focalin,dexmethylphenidate hydrochloride,Novartis Pharmaceuticals Corporation,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20011130,20260731,DEXMETHYLPHENIDATE HYDROCHLORIDE (5 mg/1),Central Nervous System Stimulant [EPC]; Central Nervous System Stimulation [PE],CII,True,
